,smiles,cmpd_id,fragmentA,fragmentB,sucos,int_count
90,CN(Cc1nnc2ccccn12)C(=O)CCc1ccc2c(c1)OCO2,MOLPORT:020-071-897,x1140_0A,x1594_0A,0.6211710754371758,3
91,O=C(C=Cc1ccc2c(c1)OCO2)NCCc1nnc2ccccn12,MOLPORT:002-662-833,x1594_0A,x1919_0A,0.620465578655973,5
92,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1ccc2c(c1)OCO2,MOLPORT:010-964-592,x1140_0A,x1594_0A,0.6202218527098428,5
93,Cc1cc(C(=O)NC[C@@H](C)N[C@@H](C)C(=O)N2CCCCC2)no1,ENAMINE:PV-000782638925,x1052_1A,x1083_0A,0.6199669274527612,4
94,O=C(Cc1ccc2c(c1)OCO2)N[C@@H]1CCN(c2nccn3cnnc23)C1,MOLPORT:042-617-405,x0147_0A,x1140_0A,0.6193758359526936,4
95,CCS(=O)(=O)NCc1nnc(-c2ccccn2)o1,ENAMINE:PV-002990258219,x1498_0A,x1140_0A,0.619192761351384,7
96,Cc1nnc2c(N(C)CCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z2861823966,x0147_0A,x1919_0A,0.6174614502534083,8
97,CC(C)[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,MOLPORT:005-976-152,x1594_0A,x1919_0A,0.6174237906297739,3
98,O=C(C=Cc1ccc2c(c1)OCO2)NCCc1nnc2ccccn12,MOLPORT:002-662-833,x1594_0A,x2021_0A,0.6169008490984226,4
99,CC(C)[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,MOLPORT:005-976-152,x1594_0A,x2021_0A,0.6168620651694275,5
100,Cc1ccn2cnnc2c1NC(=O)c1ccc2c(c1)OCO2,ENAMINE:PV-001807981377,x1594_0A,x1919_0A,0.6154029731825259,4
101,O=C(Nc1cccnc1)c1cc(-c2ccc3c(c2)OCO3)nc2ccccc12,MOLPORT:019-032-090,x1140_0A,x2099_0A,0.6141744490081107,3
102,O=C(CCCN1CCCCC1)Nc1cc(-n2cccn2)ccn1,ENAMINE:Z3715090350,x1498_0A,x1083_0A,0.6135445196972646,1
103,O=C(NCC1(c2ccc3c(c2)OCO3)CCCCC1)Nc1ccon1,ENAMINE:Z1671838092,x1140_0A,x1052_1A,0.6135306938882352,6
104,Cc1ccn2c(NC(=O)c3ccc4c(c3)OCO4)nnc2c1,ENAMINE:Z1392037149,x1594_0A,x1919_0A,0.6135080450379464,3
105,C[C@@H](CCCCN)NC(=O)c1cc(CN2CCCCC2)on1,ENAMINE:Z4053996178,x1052_1A,x1083_0A,0.6134244959269253,4
106,O=C(Nc1ccc2c(c1)OCO2)c1ccc2nnc(S)n2c1,ENAMINE:Z2027381694,x1594_0A,x1919_0A,0.6127684695597428,3
107,O=S(=O)(Nc1nnc2ccccn12)c1ccccc1-c1ccno1,ENAMINE:Z1620754814,x1594_0A,x1052_1A,0.6122904221466456,3
108,O=C(Nc1ccc2c(c1)OCO2)c1ccc2nncn2c1,ENAMINE:Z978911046,x1594_0A,x1919_0A,0.6122135081556779,3
109,O=C(NCc1ccc2c(c1)OCO2)c1ccc2nnc(C(F)F)n2c1,ENAMINE:Z1416038166,x1594_0A,x1140_0A,0.6121519556413014,3
110,C[C@@H](Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc2c(c1)OCO2,MOLPORT:009-461-148,x1594_0A,x1919_0A,0.6119192567474813,4
111,O=C(NCCOc1ccc2c(c1)OCO2)c1ccnc(C(=O)O)c1,ENAMINE:Z1444039181,x1498_0A,x1140_0A,0.6106454228411259,4
112,COC[C@H](NC(=O)c1cc(CN2CCCCC2)on1)C(=O)OC,ENAMINE:Z2224134500,x1052_1A,x1083_0A,0.6100484871382894,6
113,O=C(Cc1ccon1)NC[C@H](NC(=O)c1ccncc1)C1CCCC1,ENAMINE:PV-001687710254,x1498_0A,x1052_1A,0.6095206642353018,5
114,CC(C)[C@@H](C(=O)Nc1ccc2c(c1)OCO2)N(Cc1cccnc1)C(=O)Cc1ccccc1,MOLPORT:003-853-555,x1140_0A,x2099_0A,0.6084500174337283,3
115,Cc1ccn2cnnc2c1NC(=O)c1ccc2c(c1)OCO2,ENAMINE:PV-001807981377,x1594_0A,x2021_0A,0.6081453972011218,5
116,O=C(Cc1ccc2c(c1)OCO2)NCc1nnc2c(O)nccn12,MOLPORT:039-074-886,x0147_0A,x2021_0A,0.6077850644020019,4
117,O=C(NCCOc1ccc2c(c1)OCO2)c1ccnc(CO)c1,ENAMINE:Z3295560193,x1498_0A,x1140_0A,0.6071216094314404,3
118,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1ccc2c(c1)OCO2,MOLPORT:010-964-592,x1594_0A,x1919_0A,0.6069821730700355,3
119,Cc1nnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-284,x1594_0A,x1140_0A,0.606435046204091,3
120,Cc1ccn2c(NC(=O)c3ccc4c(c3)OCO4)nnc2c1,ENAMINE:Z1392037149,x1594_0A,x2021_0A,0.6059699855879578,5
121,CNC(=O)[C@H](C)N[C@@H]1CCCN(C(=O)CCN2CCCCC2)C1,ENAMINE:PV-000962771374,x1071_0A,x1083_0A,0.6038290100931946,6
122,O=C(Nc1ccc2c(c1)OCO2)c1ccc2nnc(S)n2c1,ENAMINE:Z2027381694,x1594_0A,x2021_0A,0.6036955716668069,7
123,O=C(Nc1ccc2c(c1)OCO2)c1ccc2nncn2c1,ENAMINE:Z978911046,x1594_0A,x2021_0A,0.6034922808110759,4
124,C[C@@H](Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc2c(c1)OCO2,MOLPORT:009-461-148,x1594_0A,x2021_0A,0.6028905754265812,5
125,O=C(CSc1nnc2ccccn12)NCCN1C(=O)SC(=Cc2ccc3c(c2)OCO3)C1=O,MOLPORT:044-212-335,x1594_0A,x1919_0A,0.6019225643003735,8
126,CC[C@@H](C)C(=O)NC1CCN(C(=O)CCN2CCCCC2)CC1,ENAMINE:PV-001333636412,x1083_0A,x1071_0A,0.6018949018638455,6
127,O=C(CCc1ccc2c(c1)OCO2)N1CCC[C@@H]1c1nnc2ccccn12,MOLPORT:007-123-258,x1594_0A,x1919_0A,0.6005182380365419,4
